Sentences,contains_a_deadline,deadline,deadline_type
Students are expected to write and submit all course deliverables as scheduled according to this,0,,
Course Outline. Medical absences wit h the appropriate medical certificate are the only acceptable,0,,
reasons for failure to hand in or complete a requirement of this course at the specified time. THERE,0,,
WILL BE NO EXCEPTIONS .,0,,
For a missed mid term or final examination medical certificates mus t be submitted along with a,0,,
deferred exam application and a medicate certificate form to the Student Services Centre DMS1100,0,,
of the Telfer School of Management.,0,,
Please visit the following webpage to download  the form and carefully read the directives .,0,,
For other missed deliverables the original medical certificates can be submitted directly to the,0,,
Professor.,0,,
LANGUAGE  WRITING,0,,
You will be judged on your writing abilities on all written deliverables. It is recommended to take the,0,,
appropriate  measures t o avoid mistakes such as spelling syntax punctuation inappropriate use of,0,,
terms etc. In the event of poor language quality you may be penalized up to 15% to the professors,0,,
discretion. Please see the  Writing  Resources . In this class please follow the provided guidelines carefully. They encourage you to present analyses,0,,
and draw conclusions with regards to your proposed social enterprise.,0,,
LATE SUB MISSIONS,0,,
Late submissions are not tolerated. Exceptions are made only for illness or other serious situations,0,,
deemed as such by the professor.,0,,
ABSENCES FROM EXAMS,0,,
University regulations require all absences from examsquizzes and all late submissions du e to illness,0,,
to be supported by a medical certificate.,0,,
Absence for any other serious reason must be justified in writing to the Student Services Centre,0,,
undergraduate telfer.uottawa.ca within five business days  following the date  of the exam. Please,0,,
visit the following webpage to download  the deferral request form and carefully read the directives .,0,,
The Telfer School reserves the right to accept or refuse the reason.,0,,
Religious absences  If a religious holiday or a religious event will force you to be absent during an,0,,
evaluation it is your responsibility to inform your professor as early as possible.,0,,
INTELLECTUAL PROPERTY,0,,
All forms printed digital etc . of course materials prepared by the instructor including e mailed or,0,,
Brightspace content are protected by copyright. This covers all files assessments solutions cases,0,,
and other materials. Copying scanning photographing posting or sharing by an y means is a,0,,
violation of copyright and will be subject to appropriate penalty as prescribed by University of Ottawa,0,,
regulation.,0,,
ACADEMIC INTEGRITY,0,,
Academic Regulation 14 defines academic fraud as  any act by a student that may result in a,0,,
distorted academic evaluation for that student or another student.  Academic fraud includes but is not,0,,
limited to activities such as,0,,
a Plagiarism or cheating in any way,0,,
b Submitting work not partially or fully the students own excluding properly cited quot ations,0,,
and references.  Such work includes assignments essays tests exams research reports and,0,,
theses regardless of whether the work is written oral or another form,0,,
c Presenting research data that are forged falsified or fabricated,0,,
d Attributing a sta tement of fact or reference to a fabricated source,0,,
e Submitting the same work or a large part of the same piece of work in more than one course,0,,
or a thesis or any other piece of work submitted elsewhere without the prior approval of the,0,,
appropriate profess ors or academic units,0,,
f Falsifying or misrepresenting an academic evaluation using a forged or altered supporting,0,,
document or facilitating the use of such a document,0,,
g Taking any action aimed at falsifying an academic evaluation. 1,0,,
The Telfer School of Management does not tolerate academic fraud .  Please familiarize yourself with,0,,
this guidance .,0,,
STUDENT SUPPORT SERVICES,0,,
ACADEMIC ACCOMMODATIONS FOR STUDENTS WHO NEED,0,,
ADAPTIVE MEA SURES,0,,
Students who have a disability or functional limitation and who need adaptive measures changes to,0,,
the physical setting arrangements for exams learning strategies etc. to progress or participate fully,0,,
in university life should contact Academic Accommodations Service  as early as possible,0,,
By visiting our office on the third floor of the Desmarais Building Room 3172,0,,
By filling out the online registration form,0,,
By calling us phone at 613 5625976,0,,
The University is committed to providing students with disabilities academic accommodation  to,0,,
allow them an equitable opportunity to fully access and participate in the learning,0,,
environment  with dignity autonomy and without impediment while preserving academic,0,,
freedom academic integrity and academic standards.,0,,
The Academic Accommodations service  works collaboratively with our university community,0,,
and stakeholders to fa cilitate the academic accommodation process. To consult the policy visit,0,,
the Academic  Regulation I 16  Academic Accommodations .,0,,
The academic accommodation process is a collaborative process and a shared responsibility,0,,
among all parties involved. Our role in the academic accommodation process is to assess,0,,
establish and implement appropriate academic accommoda tions for students who have a,0,,
temporary or permanent disability.,0,,
Students who need academic accommodations are encouraged to  contact us  as soon as possible .,0,,
WRITING RESOURCES,0,,
When working on any of your written assignments  please keep in mind that  all written submissions are,0,,
expected to b e grammatically sound see Writing Quality expectations under Appendix 3 U Ottawa Course,0,,
Policies and make appropriate use of research where applicable  on how to avoid  Academic Fraud. Regarding,0,,
writing quality see the information on Univers ity of Ottawa WritingLearning resources  below for furth er,0,,
assistance,0,,
The Academic Writing Help Centre  University of Ottawa.,0,,
The Elements of Style  Strunk  White.  Also available at the library.,0,,
APA style .  Also see the Quick APA guide posted on our Brightspace  page,0,,
OTHER U OTTAWA SERVICES THAT YOU MIGHT FIND USEFUL,0,,
Career Services,0,,
o Telfer Career Centre,0,,
o U Ottawa Career Services,0,,
Counselling Service,0,,
PERSONAL ETHICS STATEMENT CONCERNING TELFER SCHOOL,0,,
ASSIGNMENTS,0,,
Group Assignment,0,,
By signing this Statement I am attesting to the fact that I have  reviewed not only my own work but,0,,
the work of my colleagues in its entirety.,0,,
I attest to the fact that my own work in this project meets all of the rules of quotation and referencing,0,,
in use at the Telfer School of Management at the University of Ottawa as well as adheres to the frau d,0,,
policies as outlined in the Academic Regulations in the Universitys Undergraduate Studies Calendar,0,,
Academic Fraud Webpage .,0,,
To the best of my knowledge I also believe that  each of my group colleagues has also met the rules of,0,,
quotation and referencing in this Statement.,0,,
I understand that if my group assignment is submitted without a signed copy of this Personal Ethics,0,,
Statement from each group member it will be interprete d by the Telfer School that the missing,0,,
students signature is confirmation of non participation of the aforementioned students in the,0,,
required work.,0,,
Signature      Date,0,,
Last Name print First Name print   Student Number,0,,
Signature      Date,0,,
Last Name print First  Name print   Student Number,0,,
Signature      Date,0,,
Last Name print First Name print   Student Number,0,,
Signature      Date,0,,
Last Name print First Name print   Student Number,0,,
Signature      Date,0,,
Last Name print First Name print   Student Number,0,,
PERSONAL ETHICS STATEMENT,0,,
Individual Assignment,0,,
By signing this Statement I am attesting to the fact that I have reviewed the entirety of m y attached,0,,
work and that I have applied all the appropriate rules of quotation and referencing in use at the Telfer,0,,
School of Management at the University of Ottawa as well as adhered to the fraud policies outlined in,0,,
the Academic Regulations in the Universitys Undergraduate Studies Calendar Academic Fraud,0,,
Webpage .,0,,
Signature  Date,0,,
Last Name print First Name print  Student Number,0,,
MAT1348B Winter 2020 Discrete Math for Computing,0,,
Instructor Dr. Mathieu Lemire email mlemir2uottawa.ca,0,,
ofce STEM room 668,0,,
Description of the Course Introduction to discrete structures as a foundation to computing.,0,,
Propositional logic. Fundamental structures functions relations sets. The basics of counting,0,,
counting arguments the pigeonhole principle permutations and combinations. Introduction to,0,,
proofs direct by contradiction by cases induction. Topics in graph theory isomorphism cycles,0,,
trees directed graphs. Whenever possible applications from computing and information technology,0,,
will be included.,0,,
Prerequisite MAT1318 Ontario 4U Advanced Functions MHF4U or equivalent. This course,0,,
cannot be taken for credit by any student who has previously received credit for MAT2348 and,0,,
cannot be combined for credit with MAT1362 .,0,,
How to learn Discrete Mathematics,0,,
Attend the,0,,
lecturesMake sure you go to class and take good notes so you can reread them,0,,
before the next lecture.,0,,
LEC Monday 100220 pm STE H0104,0,,
LEC Wednesday 11301250 pm STE H0104,0,,
Attend the,0,,
DGDsThis is your Discussion Group led by a graduate student TA. Prepare by,0,,
doing the posted exercises and use your time well by asking questions,0,,
DGD B01 Friday 830950 am MRT 250,0,,
DGD B02 Friday 10001120 am MRT 250,0,,
DGD B03 Friday 11301250 pm CBY B012,0,,
Stay upto,0,,
date with,0,,
BrightspaceThe course webpage is on Brightspace of the University of Ottawa. An,0,,
nouncements lecture notes test solutions and more resources will be,0,,
posted there. You will need to check Brightspace regularly.,0,,
Stay mathe,0,,
matically t,0,,
by doing lots,0,,
of exercisesPractice Do homework exercises textbook exercises DGD exercises and,0,,
any other suggested exercises. Work on examples from class to see if you,0,,
can remember how to solve them on your own. Discrete Math for Comput,0,,
ing is not a course where lastminute memorization is enough to succeed.,0,,
Denitions,0,,
...and many,0,,
new,0,,
methodsOne aspect of MAT1348 that may be different from what youve experi,0,,
enced in other math classes is its emphasis on denitions. You will learn,0,,
many new and very specic denitions in this course so please review,0,,
the new terminology regularly and get to know it well. We will also cover,0,,
many different methods for problemsolving and proofwriting. You should,0,,
be able to solve problems using a variety of specied methods.,0,,
Use the,0,,
textbook and,0,,
supplemental,0,,
resources,0,,
posted on,0,,
BrightspaceThe recommended textbook is Discrete Mathematics and Its Applications,0,,
8th Edition  by Kenneth H. Rosen plus course notes to be posted on,0,,
1Brightspace. You can get a customized version ebook or hardcopy of,0,,
the textbook. Older versions of Rosen are ne too. The textbook is avail,0,,
able at the Follett Bookstore on Campus in the University Centre and,0,,
elsewhere.,0,,
A list of Supplemental Exercises and Graph Theory NotesExercises will be,0,,
freely available on Brightspace as well.,0,,
Ask for help Ask for help when you need it before things become too overwhelming.,0,,
Talk to your instructor and TA. We are here to help.,0,,
Visit your,0,,
professors,0,,
Ofce HoursWhenever you need concepts claried or would like to discuss the course,0,,
please drop in to my Ofce Hours Wednesdays from 1300 to 1430,0,,
Thursdays from 1430 to 1600 at 668 STEM.,0,,
Visit the Math,0,,
Help CentreIn addition to the DGDs lectures and professors ofce hours you can get,0,,
help at the Math Help Centre located in STM 207. For more details go to,0,,
httpscience.uottawa.caenfacultyservicesundergraduatestudiesMAT,0,,
Accessibility If you are in need of accommodation during this course due to a disability,0,,
please consult with Access Services as soon as possible otherwise you,0,,
may not obtain accommodations in time.,0,,
How you will be evaluated,0,,
Your mark will be calculated using whichever of the following schemes is to your advan,0,,
tage,0,,
Scheme 1 Scheme 2 Scheme 3 Scheme 4,0,,
3 Assignments 3 Assignments 3 Assignments 3 Assignments,0,,
worth 2% each worth 2% each worth 2% each worth 2% each,0,,
2 Midterms Midterm 1 Midterm 2,0,,
worth 22% each worth 22% worth 22%,0,,
Final Exam Final Exam Final Exam Final Exam,0,,
worth 50% worth 72% worth 72% worth 94%,0,,
Note. In order to pass the course you must obtain 40% or higher on the Final Exam. If,0,,
your grade on the nal exam is lower than 40% then you will fail the course F regardless,0,,
of your other marks.,0,,
Assignments must be submitted in the assignment boxes near STM 207 before the due,0,,
date deadline.,0,,
Late assignments will not be accepted.,0,,
2Tentative,0,,
Assignment,0,,
Due DatesAssignment 1  Tuesday January 28 before 900 pm,1,01-28,assignment
Assignment 2  Tuesday March 3 before 900 pm,1,03-03,assignment
Assignment 3  Tuesday April 1 before 900 pm,1,04-01,assignment
Test Dates,0,,
in classTEST 1  Monday February 10,1,02-10,final
TEST 2  Monday March 16,1,03-16,
Final Exam  The exam will be scheduled during the nal exam period April 724,1,,
TestExam Policies,0,,
Test procedures You should bring your student card to tests. Students may not enter,0,,
after or leave before 20 minutes have passed from the beginning of a,0,,
test.,0,,
Calculator policy No calculators.,0,,
Policy for missing,0,,
a testIf you miss a midterm then its weight will automatically be trans,0,,
ferred to the weight of the nal exam as in Evaluation Schemes 2 3,0,,
or 4. There are no makeup tests .,0,,
Electronic,0,,
DevicesCellular phones unauthorized electronic devices unauthorized cal,0,,
culators or course notes are notallowed during tests and exams.,0,,
Phones and devices including Smartwatches must be turned off and,0,,
put away in your bag. If caught with such a device or document,0,,
academic fraud allegations may be led which may result in you,0,,
obtaining a zero for the testexam.,0,,
Academic Fraud Any attempt at copying or cheating is treated as a case of academic,0,,
fraud as is the facilitation of copying by others. Students must take,0,,
reasonable care to prevent others from copying their work.,0,,
Accessibility If you are in need of accommodation during this course due to a dis,0,,
ability please register with Access Services as soon as possible other,0,,
wise you may not obtain accommodations in time.,0,,
Important dates for MAT1348A,0,,
Monday January 6 rst LEC,0,,
Friday January 17 rst DGD,0,,
Tuesday January 28 Assignment 1 tentative due date,0,,
Monday February 10 TEST 1 in class,0,,
February 1622 NO CLASSES Reading Week,0,,
Tuesday March 3 Assignment 2 tentative due date,0,,
Monday March 16 TEST 2 in class,0,,
Friday March 20 last day to withdraw from a course,0,,
Wednesday April 1 Assignment 3 tentative due date,0,,
Friday April 3 last MAT1348 DGD,0,,
Wednesday April 1 last MAT1348 LEC,0,,
April 724  2020 FINAL EXAM PERIOD,0,,
3University of Ottawa Services and Policies,0,,
Academic Integrity. Academic integrity means being responsible for the quality of your,0,,
work preparing it honestly and respecting the intellectual community you are part of,0,,
as a student. Every member of the University community has the moral obligation to,0,,
learn and share knowledge with honesty and integrity. For more information please see,0,,
httpwww.uottawa.cavicepresidentacademicacademicintegrity,0,,
Academic Fraud. Academic fraud refers to an act by a student that may result in false,0,,
academic evaluation of that student or another student. Plagiarism and all forms of cheat,0,,
ing are taken very seriously.,0,,
See httpswww.uottawa.caadministrationandgovernanceacademicregulation14otherimportantinformation,0,,
Accessibility. The University provides academic accommodations for students with dis,0,,
abilities in accordance with the terms of the Ontario Human Rights Code. This occurs,0,,
through a collaborative process that acknowledges a collective obligation to develop an,0,,
accessible learning environment that both meets the needs of students and preserves the,0,,
essential academic requirements of the Universitys courses and programs. The University,0,,
of Ottawa is committed to ensure that persons with disabilities have equal access to its,0,,
services and events.,0,,
Access Services. The University of Ottawa accommodates students with disabilities through,0,,
Access Services a division of the Student Academics Success Service SASS. SASS is a free,0,,
network of services and programs designed to give you the tools and information you need,0,,
to succeed. Delivered by professionals and fellow students who care about your success,0,,
and your wellbeing the programs and services of SASS complement your classroom learn,0,,
ing and support you in achieving your academic and professional goals. Please note that,0,,
there are deadlines for registering with Access Services. For more information please visit,0,,
httpssass.uottawa.caenaccess,0,,
Sexual Violence. The University of Ottawa will not tolerate any act of sexual violence.,0,,
This includes acts such as rape and sexual harassment as well as misconduct that take,0,,
place without consent which includes cyberbullying. The University as well as various,0,,
employee and student groups offers a variety of services and resources to ensure that all,0,,
uOttawa community members have access to condential support and information and,0,,
to procedures for reporting an incident or ling a complaint. For more information see,0,,
httpswww.uottawa.carespectenharassmentdiscriminationMiniHomePageharassment,0,,
TestExam Policy for Electronic Devices. Cellular phones unauthorized electronic de,0,,
vices calculators or course notes are notallowed during tests and exams. Phones and,0,,
devices including Smartwatches must be turned off and put away in your bag. Do not,0,,
keep them in your possession such as in your pockets. If caught with such a device or,0,,
document academic fraud allegations may be led which may result in you obtain,0,,
ing a 0 zero for the exam. Therefore come to your exams with a plan of how to store,0,,
your device away from your person.,0,,
4,0,,
CSI3105 Fall 2022,0,,
Design and Analysis of Algorithms,0,,
300 3 cr.,0,,
Course Description  Analysis of algorithms worstcase analysis complexity analysis,0,,
asymptotic notations and basic complexity classes. Algorithm design techniques brute,0,,
force divide and conquer dynamic programming greedy backtracking. Computational,0,,
complexity of problems lower bound arguments the classes PNPNPcomplete dealing,0,,
withNPcomplete problems.,0,,
Prerequisites  CSI 2110 CSI 2101 or for honors mathematics students CSI 2110 MAT,0,,
2141 or MAT 2143.,0,,
Course Web Page  BrightSpace,0,,
Time  Location  This is an inperson course. No lecture will be recorded.,0,,
Monday 1130 to 1300 CRX  C240,0,,
Thursday 1300 to 1430 CRX  C240,0,,
Professor,0,,
Name JeanLou De Carufel,0,,
Oce STE5108,0,,
Email address jdecaruf  uottawa . ca,0,,
Oce Hours Thursday 1430 to 1600,0,,
1Teaching Assistants,0,,
Name Saman Bazargani,0,,
Oce STE5116,0,,
Email address sbaza033  uottawa . ca httpscglab.ca saman,0,,
Oce Hours Tuesday 1515 to 1645,0,,
Name Jinrong Guo,0,,
Oce ZOOM the ZOOM links are already on BrightSpace,0,,
Email address jguo108  uottawa . ca,0,,
Oce Hours Monday 1800 to 1930,0,,
Name Saeed Odak,0,,
Oce STE5000J,0,,
Email address sodak073  uottawa . ca httpssaeedodak.github.io,0,,
Oce Hours Wednesday 900 to 1030,0,,
Name Fr ed eric Simard,0,,
Oce STE5000D,0,,
Email address fsima063  uottawa . ca,0,,
Oce Hours Friday 1100 to 1230,0,,
Textbook,0,,
Suggested reading.,0,,
Sanjoy Dasgupta Christos H. Papadimitriou and Umesh Vazirani. Algorithms. McGraw,0,,
Hill Education 2006.,0,,
Other references.,0,,
Gilles Brassard and Paul Bratley. Fundamentals of Algorithmics. Pearson 1995.,0,,
Thomas Cormen Charles Leiserson Ronald Rivest and Cliord Stein. Introduction,0,,
to Algorithms third edition. The MIT Press 2009.,0,,
Anany Levitin. Introduction to the Design and Analysis of Algorithms third edition.,0,,
Pearson 2012.Course Evaluation,0,,
Assignments There will be 3 assignments. The assignments are to be delivered on,0,,
BrightSpace by the due date and time.,0,,
Deadline for Assignment 1 September 22 2022 before 1300.,1,09-22,assignment
Deadline for Assignment 2 October 6 2022 before 1300.,1,10-06,assignment
Deadline for Assignment 3 November 10 2022 before 1300.,1,11-10,assignment
Online minitests There will be three online minitests. You will have 30 minutes for,0,,
each minitest. You can decide when you want to write your minitest within the,0,,
time window allocated for it .,0,,
MiniTest 1 To be done directly in BrightSpace between Sept. 29 2022 at 14h30,1,09-29,test
and Oct. 1 2022 at 14h30.,0,,
MiniTest 2 To be done directly in BrightSpace between Oct. 13 2022 at 14h30,1,10-13,test
and Oct. 15 2022 at 14h30.,0,,
MiniTest 3 To be done directly in BrightSpace between Nov. 17 2022 at 14h30,1,11-17,test
and Nov. 19 2022 at 14h30.,0,,
Inperson midterms There will be two inperson midterms. No documentation is,0,,
authorized for the midterms.,0,,
Exam 1 October 17 2022 from 1130 to 1250,1,10-17,exam
Exam 2 November 21 2022 from 1130 to 1250,1,11-21,exam
Inperson nal exam There will be a 3 hour inperson nal exam scheduled in,0,,
December. The nal exam will be a closed book exam. The nal exam will,0,,
cover all the material we cover this Fall.,0,,
Cheating on assignmentsminitestsexams will not be tolerated. For a full description of the,0,,
current academic fraud regulations please follow httpswww.uottawa.caadministrationandgovernance,0,,
academicregulation14otherimportantinformation . No assignment minitest or,0,,
exam marks will be reviewed more than 10 working days from the time it is marked. It,0,,
is your responsibility to check the web site frequently and make sure that your marks are,0,,
correctly recorded.Marking Scheme,0,,
Assignment 1 0%,0,,
Assignment 2 0%,0,,
Assignment 3 0%,0,,
MiniTest 1 5%,0,,
MiniTest 2 5%,0,,
MiniTest 3 5%,0,,
Exam 1 17 5%,0,,
Exam 2 17 5%,0,,
Final exam 50%,0,,
Total 100%,0,,
Course Outline,0,,
1. Introduction,0,,
2. The Divide and Conquer Approach,0,,
3. Graph algorithms,0,,
4. The Greedy Approach,0,,
5. The Dynamic Programming Approach,0,,
6. Complexity classes PNPandNPcomplete,0,,
7. Lower bound arguments,0,,
ITI 1121. Introduction to Computing II,0,,
GuyVincent Jourdan Sections A and B,0,,
gjourdanuottawa.ca,0,,
Mehrdad Sabetzadeh Sections C and D,0,,
msabetzauottawa.ca,0,,
Winter 2021  Last edited January 19 2021,0,,
Course Web site,0,,
Sections A and B  www.eecs.uottawa.ca gvjCoursesITI1121,0,,
Sections C and D  sites.google.comviewiti1121,0,,
We will be using Piazza for class discussions. The system is meant to get you help,0,,
rapidly and efficiently from classmates the teaching assistants and the professors.,0,,
Documents will also be posted there.,0,,
Find our class page at  httpspiazza.comuottawa.cawinter2021iti1121home .,0,,
Please create an account and enrol there as soon as possible,0,,
from  httpspiazza.comuottawa.cawinter2021iti1121 .,0,,
Schedule,0,,
The first lecture will be held on Monday January 11 2021 for Sections A C and D,0,,
and on Wednesday January 13 2021 for Section B. Laboratories will start  that same,0,,
week with a startup lab to do on your own. Regular graded labs start on the week of,0,,
the January 18th. Information about the schedules tutorials lecture notes etc. can be,0,,
found on the course web site  Section A and B  and Section C and D . Lectures are,0,,
given online the means of delivery will be specified and upd ated on your sections,0,,
course website.,0,,
Lectures Section A  Monday 1600 1720 and Wednesday 1430 1550,0,,
Lectures Section B  Wednesday 1600 1720 and Friday 1430 1550,0,,
Lectures Section C  Monday 1130 1250 and Thursday 1300 1420,0,,
Lectures Section  D Monday 1130 1250 and Thursday 1300 1420,0,,
Office hours,0,,
o Professor Jourdan Sections A and B Wednesday 1300 1400,0,,
o Professor Sabetzadeh Sections C and D Monday 1300 1400,0,,
Consult  uOttawas Course Timetable  for the schedule of the laboratory,0,,
sections.,0,,
Course description  Object oriented programming. Abstraction principles information hiding and,0,,
encapsulation. Linked lists stacks queues binary search trees. Iterative and recursive,0,,
processing of data structures. Virtual machines. Prerequisite ITI1120 3 hours of,0,,
lecture  per week 3 hours of laboratory per week 3 credits.,0,,
Learning objectives,0,,
Further training in programming concepts particularly object oriented,0,,
programming and linked structures,0,,
Thorough treatment of basic data structures stacks queues linked lists an d,0,,
binary search trees,0,,
A basic understanding of virtual machines,0,,
A solid foundation for further studies in computer science,0,,
Course outline,0,,
Object oriented programming and encapsulation,0,,
Polymorphism and inheritance,0,,
Polymorphism and interface,0,,
Abstract data type,0,,
Stacks implementations and algorithms,0,,
Virtual machines,0,,
Queues implementations and algorithms,0,,
Linked implementations linked lists,0,,
Recursive list processing,0,,
Binary search trees,0,,
Evaluation of student learning,0,,
There will a midterm test a final examination as well as four assignments.  The,0,,
midterm test will be held on Saturday March  6th 2021 from 11 am to 1 pm .,1,03-06,midterm
The four assignments will be announced in class and posted on BrigthSpace.,0,,
Every assignment counts and constitutes an excellent preparation for the final.,0,,
The tentative  due dates for the assignments are,0,,
Assignment 1 February 5 2021,1,02-05,assignment
Assignment 2 February 26 2021,1,02-26,assignment
Assignment 3 March 19 2021,1,03-19,assignment
Assignment 4 April 9 2021,1,04-09,assignment
Marking scheme   Assignments  25 mar ks,0,,
Laboratories participation  quizzes  10 marks,0,,
Midterm test  25 marks,0,,
Final examination  40 marks,0,,
Calculation of your final grade,0,,
1. if Midterm  test  Final  examination   32.5 then,0,,
2. else,0,,
Given a valid reason e.g. medical for missing the midterm test the mark of the final,0,,
examination will also be used as the mark of the midterm t est.,0,,
Textbooks,0,,
On the course Web site you will find the suggested readings for each lecture,0,,
E. Koffman and P.  Wolfgang  2016  Data Structures Abstraction and Design,0,,
Using Java 3rd Edition . Wiley 684 pages. ISBN 978 111918652 6,0,,
OR E.  Koffman and P.  Wolfgang  2010  Data Structures Abstraction and,0,,
Design Using Java Second Edition . Wiley 832 pages. ISBN 978 0470,0,,
12870 1,0,,
Here is a free textbook that covers most of the material presented in class.,0,,
Java Structures Data Structures in Java for the P rincipled Programmer by,0,,
Duane A. Bailey,0,,
www.cs.williams.edu baileyJavaStructuresBook.html,0,,
The following textbook is a short and useful resource.,0,,
Java Precisely Third Edition by Peter Sestoft. MIT Press 2016. ISBN 978 0,0,,
26252907 5,0,,
Attendance to classes,0,,
Class attendance is mandatory. As per academic regulations,0,,
to be admitted to the final examination in a subject a student must attend a minimum,0,,
of 80% of classes and must  not have more than five unauthorized or unjustified,0,,
absences in that subject.,0,,
Plagiarism,0,,
Academic fraud is an act by a student that may result in a false evaluation inclu ding,0,,
papers tests examinations etc.. It is not tolerated by the University. Any person,0,,
found guilty of academic fraud will be subject to severe sanctions. Here are some,0,,
examples of academic fraud,0,,
Plagiarism or cheating of any kind,0,,
Present research da ta that has been falsified,0,,
Submit a work for which you are not the author in whole or part,0,,
Submit the same piece of work for more than one course without the written,0,,
consent of the professors concerned.,0,,
Please consult  this webpage  it contains regulations and tools to help you avoid,0,,
plagiarism.,0,,
An individual who commits or attempts to commit academic fraud or who is an,0,,
accomplice will be penalized. Here are some examples of possible sanctions,0,,
Receive an F for the work or in the course in question,0,,
Imposition of additional requirements from 3 to 30 credits to the program of,0,,
study,0,,
Suspension or expulsion from the Faculty.,0,,
You can refer to the regulations on  this webpage .,0,,
Information sharing and copyright,0,,
All documents prepared by the course instructor including assignments course notes,0,,
and exams are protected by copyright. Copying digitizing or publishing on a Web,0,,
site is therefore a vi olation of copyright and is illegal.,0,,
Counselling service,0,,
There are many reasons to take advantage of the Counselling Service. They offer,0,,
Personal counselling,0,,
Career counselling,0,,
Study skills counselling  Further information is available here,0,,
httpwww.sass.uottawa.capersonal,0,,
Access service,0,,
The Access Service acts as an intermediary between students their faculty and other,0,,
University offices to ensure that the special needs of these students are addressed and,0,,
that the best possible learning conditions are being offered.,0,,
Note that the University of Ottawa is affiliated with  AERO  and ACE  services for,0,,
the adaptation of accessible academic materials for students with perceptual,0,,
disabilities. If you have any questions please contact the  Accessibility Librarian  or,0,,
the Access services  for textbooks.,0,,
httpwww.sass.uottawa.caaccess,0,,
Policy Preventio n of sexual violence,0,,
The University of Ottawa will not tolerate any act of sexual violence. This includes,0,,
acts such as rape and sexual harassment as well as misconduct that take place without,0,,
consent which includes cyberbullying. The University as well as various employees,0,,
and student groups offers a variety of services and resources to ensure that all,0,,
uOttawa community members have access to confidential support and information,0,,
and to procedures for reporting an incident or filing a complaint. For mor e,0,,
information please visit  www.uOttawa.casexual violence support andprevention .,0,,
MAT 1322A Dierential and Integral Calulus II,0,,
Winter 2020,0,,
Instructor Prof. Arian Novruzi,0,,
Email novruziuottawa.ca,0,,
Oce STEM room 527,0,,
Course hours Monday 10h0011h20 and Wednesday 08h3009h50,0,,
Learning Crossroads C240,0,,
Oce hours Thursday 10h0013h00 STEM room 527,0,,
Prerequisites MAT 1320,0,,
Site web Brightspace to consult regularly for any important information con,0,,
cerning the course,0,,
Textbook Calculus. Early Transcendentals  8th edition by J. Stewart.,0,,
The textbook is available at the University Center Bookstore as well,0,,
as at the Agora Bookstore 145 Besserer St.,0,,
DGD Attending DGDs is obligatory,0,,
The rst DGD will take place on Friday January 10. You must,0,,
register with one or the other following periods depending on your,0,,
availability,0,,
Fri. 830AM  950AM 140 LouisPasteur MRN 150,0,,
Fri. 1000AM  1120AM 136 JeanJacques L. VNR 3075,0,,
Fri. 1130AM  1250PM 136 JeanJacques L. VNR 5070,0,,
Fri. 100PM  220PM 60 University SMD 425,0,,
Fri. 230PM  350PM 60 University SMD 430,0,,
During the DGDs the instructor will solve some problems the list of,0,,
which will have been given in the course this list will also be dis,0,,
played on Brightspace. On occasion he will also explain homework,0,,
solutions for exercises that have been misunderstood. Its important,0,,
to work the exercises before going to the DGD to benet from it,0,,
Evaluation There will be two midterms exams of 80 minutes each. They will,0,,
take place during the lecture hours.,0,,
Midterm 1 Monday February 3,1,02-03,midterm
The midterm will cover all the material developed in class from the,0,,
beginning of the course to the lecture before the midterm 1 excluded,0,,
Midterm 2 Monday March 16,1,03-16,midterm
1The midterm will cover all the material developed in class from the,0,,
lecture before midterm 1 included to the lecture before the midterm,0,,
2 excluded,0,,
Final grade It will be the weighted sum of homework grades 10 % midterm,0,,
exams 220% and the exam nal 50%.,0,,
On the other hand if you get less than 40% of the nal exam your,0,,
grade for the course will be F regardless your homework and midterm,0,,
exam marks.,0,,
Remarks If you cannot write a midterm test for a valid reason for example,0,,
because of illness attested by a doctors note the weight of this exam,0,,
will be reported on the nal exam.,0,,
Calculators are not allowed for this course.,0,,
It is not allowed to leave an exam less than 20 minutes after the,0,,
start of this test or to arrive in an exam more than 20 minutes after,0,,
the beginning of the exam.,0,,
You must present your student card to each test.,0,,
The marks of homeworks and exams will be available on the course,0,,
webpage in BrightspaceVirtual Campus normally within a week.,0,,
All request related to your mark must be submitted at the latest during,0,,
the week following the delivery of the marked exams .,0,,
Homeworks  The homeworks will be done electronically using M obius software.,0,,
If you have an account from Fall session it is still valid good for one,0,,
year.,0,,
To obtain a license M obius follow the link httpsstore.,0,,
digitaled.com . You must enter the access code ACWI2020,0,,
UOTW to purchase the license. For more information on the,0,,
procedure for acquiring a M obius license consult the following,0,,
link httpsmysite.science.uottawa.cabdionneteaching,0,,
Mobiusen.html .,0,,
After the purchase you will need to edit your prole on M obius,0,,
to enter your last name your name your student number and,0,,
your university email address with sux uottawa.ca otherwise I,0,,
will not be able to trace your homework notes and transfer them to,0,,
Brightspace in which case your mark will be 0 zero.,0,,
To access your homework on M obius go to the link https,0,,
uottawa.mapleta.com .,0,,
For how to use M obius consult the guide by Benoit Dionne,0,,
httpsmysite.science.uottawa.cabdionneteaching,0,,
Mobiusen.html,0,,
If you do not already have an account you must get one as soon as,0,,
possible.,0,,
2 For homeworks youll have the possibility to redo the assignment,0,,
up to a maximum of ve times. As it is about customized homeworks,0,,
